Date,Rainfall(mm),RkunteLake(acres)
1991_01,1.166666667,0
1991_02,0,0
1991_03,1.35,0
1991_04,58.26666667,0
1991_05,128.25,0
1991_06,168,0
1991_07,49.81666667,0
1991_08,105.9833333,0
1991_09,210.8833333,0
1991_10,379.9833333,0
1991_11,133.8166667,0
1991_12,0,0
1992_01,0.033333333,12.91
1992_02,0,0
1992_03,0,0
1992_04,17.56666667,0
1992_05,99.46666667,0
1992_06,129.4166667,0
1992_07,64.25,0
1992_08,94.93333333,0
1992_09,152.1333333,0
1992_10,120.4666667,0
1992_11,56.88333333,0
1992_12,0.05,6.24
1993_01,0.033333333,0
1993_02,0,0
1993_03,0,0
1993_04,17.56666667,0
1993_05,99.46666667,0
1993_06,129.4166667,0
1993_07,64.25,0
1993_08,94.93333333,0
1993_09,152.1333333,5.81
1993_10,120.4666667,0
1993_11,56.88333333,0
1993_12,0.05,0
1994_01,0,0
1994_02,0.55,0
1994_03,3.4,0
1994_04,8.1,0
1994_05,65.8,0
1994_06,92.1,0
1994_07,55.7,0
1994_08,98.33333333,0
1994_09,202.45,0
1994_10,217.35,0
1994_11,39.86666667,0
1994_12,53.68333333,0
1995_01,0.75,0
1995_02,7.983333333,0
1995_03,0,0
1995_04,26.16666667,0
1995_05,81.21666667,0
1995_06,25.96666667,0
1995_07,68.41666667,0
1995_08,66.53333333,0
1995_09,63.15,0
1995_10,203.4333333,0
1995_11,23.2,0.43
1995_12,0.7,6.24
1996_01,3.516666667,0.22
1996_02,0,0
1996_03,1.983333333,0
1996_04,11.13333333,0
1996_05,79.6,0
1996_06,63.76666667,0
1996_07,69.88333333,0
1996_08,122.6333333,0
1996_09,76.61666667,3.66
1996_10,92.36666667,0
1996_11,13.48333333,0
1996_12,0,0
1997_01,0,0
1997_02,0.033333333,0
1997_03,0.016666667,0
1997_04,60.91666667,0
1997_05,54.78333333,0
1997_06,124.0166667,0
1997_07,33.51666667,0
1997_08,159.3333333,0
1997_09,184.4833333,0
1997_10,89.9,0
1997_11,2.6,0
1997_12,18.15,0
1998_01,1.166666667,3.01
1998_02,0.166666667,0
1998_03,31.53333333,0
1998_04,32.45,0
1998_05,46.66666667,0
1998_06,46.41666667,0.22
1998_07,47.66666667,0.65
1998_08,90.3,0
1998_09,179.8333333,0
1998_10,126.9166667,12.91
1998_11,98.4,0
1998_12,19.06666667,0
1999_01,0,0
1999_02,4.4,7.53
1999_03,0.033333333,0
1999_04,53.35,0
1999_05,155.8166667,0
1999_06,39.8,0
1999_07,65.21666667,0
1999_08,112.4666667,0
1999_09,184.3,0
1999_10,236.9833333,13.13
1999_11,38.38333333,2.37
1999_12,7.75,0
2000_01,0,0
2000_02,36,0
2000_03,0.466666667,0
2000_04,41.46666667,0
2000_05,73.63333333,0
2000_06,58.1,0
2000_07,64.31666667,0
2000_08,207.15,0.86
2000_09,185.3,10.33
2000_10,255.65,12.91
2000_11,6.816666667,0.43
2000_12,10.2,0
2001_01,0.583333333,0
2001_02,0,0
2001_03,2.9,0
2001_04,137.3666667,0
2001_05,27.68333333,0
2001_06,8.75,0
2001_07,88.26666667,0
2001_08,81.7,0
2001_09,251.5333333,0
2001_10,141.5333333,7.96
2001_11,25.9,0
2001_12,2.7,0
2002_01,0.6,0
2002_02,0,0
2002_03,2.25,0
2002_04,8.616666667,0
2002_05,114.9,0
2002_06,73.75,0
2002_07,28.96666667,0
2002_08,37.83333333,0
2002_09,55.58333333,0
2002_10,99.9,0
2002_11,28.68333333,0
2002_12,1.583333333,0
2003_01,0,0
2003_02,2.1,0
2003_03,20.95,0
2003_04,37.43333333,0
2003_05,9.316666667,0
2003_06,60.26666667,0
2003_07,72.43333333,0
2003_08,107.4166667,0
2003_09,59.36666667,0
2003_10,196.0333333,0
2003_11,9.9,0.65
2003_12,0.4,0
2004_01,2.616666667,0
2004_02,0.316666667,0
2004_03,8.25,0
2004_04,52.03333333,0
2004_05,227.1666667,0
2004_06,51.15,0
2004_07,199.05,0
2004_08,49.76666667,0
2004_09,177.1333333,0
2004_10,141.3833333,0
2004_11,18.33333333,0
2004_12,0,0
2005_01,1.633333333,0
2005_02,5.566666667,0
2005_03,12.73333333,0
2005_04,84.58333333,0
2005_05,138.4666667,0
2005_06,123.5666667,0
2005_07,79.6,0
2005_08,126.4,0.65
2005_09,181.7,0
2005_10,261.8166667,0
2005_11,128.2833333,0
2005_12,42.75,6.24
2006_01,0,6.03
2006_02,0.483333333,3.44
2006_03,46.11666667,0.43
2006_04,31.35,0
2006_05,86.6,0
2006_06,140.8666667,0
2006_07,48.83333333,0
2006_08,55.43333333,0
2006_09,76.65,0
2006_10,106.6333333,0
2006_11,65.86666667,9.25
2006_12,0.933333333,4.52
2007_01,0,0
2007_02,1.133333333,0
2007_03,0,0
2007_04,92.01666667,0
2007_05,67.36666667,0
2007_06,57.61666667,0
2007_07,111.3666667,0
2007_08,153.2666667,0
2007_09,195.8833333,0
2007_10,144.6833333,0
2007_11,18.15,0.22
2007_12,22.7,0
2008_01,13.11666667,0
2008_02,18.6,0
2008_03,99.25,0
2008_04,36.9,0
2008_05,96.35,0
2008_06,31.73333333,0
2008_07,141.2166667,0
2008_08,220.35,0
2008_09,114.3166667,0
2008_10,147.9666667,0
2008_11,34.9,10.33
2008_12,7.133333333,8.18
2009_01,0.033333333,1.94
2009_02,0,0
2009_03,7.283333333,0
2009_04,63.73333333,0
2009_05,128.95,0
2009_06,101.8166667,0
2009_07,38.3,0
2009_08,127.4666667,0
2009_09,244.6166667,0
2009_10,24.21666667,0
2009_11,40.78333333,0
2009_12,9.566666667,0
2010_01,18.58333333,0
2010_02,0,0
2010_03,13.31666667,0
2010_04,39.53333333,0
2010_05,80.33333333,0
2010_06,96.11666667,0
2010_07,123.9166667,0
2010_08,131.3,0
2010_09,124.8,0
2010_10,86.83333333,0
2010_11,175.0166667,0
2010_12,4.7,0
2011_01,0,0.22
2011_02,31.2,0
2011_03,0.75,0
2011_04,207.6166667,0
2011_05,155.2666667,0
2011_06,74.06666667,0
2011_07,107.4666667,0
2011_08,237.6666667,0
2011_09,132.5666667,0
2011_10,149.5833333,0
2011_11,56.66666667,0
2011_12,10.68333333,0
2012_01,1.25,0
2012_02,0,0
2012_03,3.116666667,0
2012_04,62.13333333,0
2012_05,78.93333333,0
2012_06,16.93333333,0
2012_07,78.71666667,0
2012_08,171.9166667,0
2012_09,48.86666667,0
2012_10,63.2,0
2012_11,104.7166667,0
2012_12,23.31666667,0
2013_01,0,0
2013_02,5.033333333,0
2013_03,17.16666667,0
2013_04,24.26666667,0
2013_05,172.2833333,0
2013_06,50.55,0
2013_07,82.23333333,0
2013_08,103.55,0
2013_09,267.0166667,0
2013_10,104.4666667,8.39
2013_11,75.93333333,1.72
2013_12,4.533333333,0
2014_01,,0
2014_02,,0
2014_03,,0
2014_04,,0
2014_05,,0
2014_06,,0
2014_07,,0
2014_08,,0
2014_09,,0
2014_10,,0
2014_11,,0
2014_12,,0
2015_01,,0
2015_02,,0
2015_03,,0
2015_04,,4.74
2015_05,,0.65
2015_06,,0.43
2015_07,,0
2015_08,,0
2015_09,,0
2015_10,,0.86
2015_11,,2.37
2015_12,,0.22
2016_01,,0
2016_02,,0
2016_03,,0
2016_04,,0
2016_05,,0
2016_06,,0
2016_07,,0
2016_08,,0
2016_09,,0
2016_10,,0
2016_11,,0
2016_12,,0
2017_01,,0
2017_02,,0
2017_03,,0
2017_04,,0
2017_05,,0
2017_06,,0
2017_07,,0
2017_08,,0
2017_09,,1.51
2017_10,,0
2017_11,,0.22
2017_12,,0.43
2018_01,,0.43
2018_02,,0.43
2018_03,,0.22
2018_04,,0
2018_05,,0
2018_06,,0
2018_07,,0
2018_08,,0
2018_09,,0
2018_10,,0.22
2018_11,,0.22
2018_12,,0.43
